USD_SGD_1.csvPrice,Tstamp,Tstamp_relative,Tstep,Is_VCD
2.0455,586389600,0,0,0
2.047,586476000,86400,1,0
2.0475,586562400,172800,2,0
2.048,586648800,259200,3,0
2.049,586735200,345600,4,0
2.0445,586994400,604800,7,0
2.048,587080800,691200,8,0
2.0445,587167200,777600,9,0
2.0435,587253600,864000,10,0
2.037,587340000,950400,11,0
2.039,587599200,1209600,14,0
2.036,587685600,1296000,15,0
2.041,587772000,1382400,16,0
2.0365,587858400,1468800,17,0
2.038,587944800,1555200,18,0
2.04,588204000,1814400,21,0
2.041,588290400,1900800,22,0
2.0395,588376800,1987200,23,0
2.0355,588463200,2073600,24,0
2.0345,588549600,2160000,25,0
2.04,588808800,2419200,28,0
2.0392,588895200,2505600,29,0
2.045,588981600,2592000,30,0
2.045,589068000,2678400,31,0
2.0445,589154400,2764800,32,0
2.0374,589413600,3024000,35,0
2.039,589500000,3110400,36,0
2.039,589586400,3196800,37,0
2.041,589672800,3283200,38,0
2.035,589759200,3369600,39,0
2.035,590018400,3628800,42,0
2.038,590104800,3715200,43,0
2.045,590191200,3801600,44,0
2.046,590277600,3888000,45,0
2.0445,590364000,3974400,46,0
2.0395,590623200,4233600,49,0
2.04,590709600,4320000,50,0
2.04,590796000,4406400,51,0
2.0405,590882400,4492800,52,0
2.041,590968800,4579200,53,0
2.043,591231600,4842000,56,0
2.0415,591318000,4928400,57,0
2.04,591404400,5014800,58,0
2.041,591490800,5101200,59,0
2.041,591577200,5187600,60,0
2.04,591836400,5446800,63,0
2.039,591922800,5533200,64,0
2.0405,592009200,5619600,65,0
2.04,592095600,5706000,66,0
2.0385,592182000,5792400,67,0
2.0337,592441200,6051600,70,0
2.035,592527600,6138000,71,0
2.033,592614000,6224400,72,0
2.023,592700400,6310800,73,0
2.0225,592786800,6397200,74,0
2.022,593046000,6656400,77,0
2.0185,593132400,6742800,78,0
2.0185,593218800,6829200,79,0
2.01,593305200,6915600,80,0
2.009,593391600,7002000,81,0
2.008,593650800,7261200,84,0
2.0075,593737200,7347600,85,0
2.0015,593823600,7434000,86,0
1.9995,593910000,7520400,87,0
2.0015,593996400,7606800,88,0
1.997,594255600,7866000,91,0
2.003,594342000,7952400,92,0
1.9965,594428400,8038800,93,0
1.985,594514800,8125200,94,0
1.985,594601200,8211600,95,0
1.977,594860400,8470800,98,0
1.977,594946800,8557200,99,0
1.968,595033200,8643600,100,0
1.969,595119600,8730000,101,0
1.954,595465200,9075600,105,0
1.952,595551600,9162000,106,0
1.949,595638000,9248400,107,0
1.952,595724400,9334800,108,0
1.95,595810800,9421200,109,0
1.948,596070000,9680400,112,0
1.9455,596156400,9766800,113,0
1.944,596242800,9853200,114,0
1.941,596415600,10026000,116,0
1.947,596674800,10285200,119,0
1.941,596761200,10371600,120,0
1.9485,596847600,10458000,121,0
1.953,596934000,10544400,122,0
1.948,597020400,10630800,123,0
1.941,597279600,10890000,126,0
1.943,597366000,10976400,127,0
1.947,597452400,11062800,128,0
1.942,597538800,11149200,129,0
1.941,597625200,11235600,130,0
1.938,597884400,11494800,133,0
1.939,597970800,11581200,134,0
1.939,598057200,11667600,135,0
1.9405,598143600,11754000,136,0
1.9465,598230000,11840400,137,0
1.943,598489200,12099600,140,0
1.9485,598575600,12186000,141,0
1.945,598662000,12272400,142,0
1.945,598748400,12358800,143,0
1.945,598834800,12445200,144,0
1.945,599180400,12790800,148,0
1.948,599266800,12877200,149,0
1.946,599353200,12963600,150,0
1.945,599439600,13050000,151,0
1.938,599785200,13395600,155,0
1.9415,599871600,13482000,156,0
1.9405,599958000,13568400,157,0
1.941,600044400,13654800,158,0
1.9435,600303600,13914000,161,0
1.9415,600390000,14000400,162,0
1.941,600476400,14086800,163,0
1.942,600562800,14173200,164,0
1.942,600649200,14259600,165,0
1.945,600994800,14605200,169,0
1.947,601081200,14691600,170,0
1.9465,601167600,14778000,171,0
1.943,601254000,14864400,172,0
1.9425,601513200,15123600,175,0
1.937,601599600,15210000,176,0
1.9385,601686000,15296400,177,0
1.9335,601772400,15382800,178,0
1.936,601858800,15469200,179,0
1.935,602118000,15728400,182,0
1.933,602204400,15814800,183,0
1.935,602290800,15901200,184,0
1.931,602377200,15987600,185,0
1.9325,602463600,16074000,186,0
1.932,602722800,16333200,189,0
1.931,602809200,16419600,190,0
1.926,602895600,16506000,191,0
1.927,602982000,16592400,192,0
1.929,603068400,16678800,193,0
1.93,603327600,16938000,196,0
1.93,603414000,17024400,197,0
1.9235,603500400,17110800,198,0
1.924,603586800,17197200,199,0
1.922,603673200,17283600,200,0
1.9417,603932400,17542800,203,0
1.927,604018800,17629200,204,0
1.927,604105200,17715600,205,0
1.927,604191600,17802000,206,0
1.929,604278000,17888400,207,0
1.927,604537200,18147600,210,0
1.931,604623600,18234000,211,0
1.933,604710000,18320400,212,0
1.934,604796400,18406800,213,0
1.932,604882800,18493200,214,0
1.9315,605142000,18752400,217,0
1.935,605228400,18838800,218,0
1.935,605314800,18925200,219,0
1.936,605401200,19011600,220,0
1.942,605487600,19098000,221,0
1.939,605746800,19357200,224,0
1.938,605833200,19443600,225,0
1.937,605919600,19530000,226,0
1.938,606006000,19616400,227,0
1.941,606092400,19702800,228,0
1.9405,606351600,19962000,231,0
1.941,606438000,20048400,232,0
1.941,606524400,20134800,233,0
1.942,606610800,20221200,234,0
1.942,606697200,20307600,235,0
1.9475,606952800,20563200,238,0
1.9525,607039200,20649600,239,0
1.957,607125600,20736000,240,0
1.96,607212000,20822400,241,0
1.962,607298400,20908800,242,0
1.9615,607557600,21168000,245,0
1.9505,607644000,21254400,246,0
1.952,607730400,21340800,247,0
1.949,607816800,21427200,248,0
1.949,607903200,21513600,249,0
1.957,608162400,21772800,252,0
1.958,608248800,21859200,253,0
1.9595,608335200,21945600,254,0
1.951,608421600,22032000,255,0
1.9555,608508000,22118400,256,0
1.9435,608767200,22377600,259,0
1.946,608853600,22464000,260,0
1.947,608940000,22550400,261,0
1.941,609026400,22636800,262,0
1.9395,609112800,22723200,263,0
1.9395,609372000,22982400,266,0
1.945,609458400,23068800,267,0
1.947,609544800,23155200,268,0
1.9515,609631200,23241600,269,0
1.9515,609717600,23328000,270,0
1.9515,609976800,23587200,273,0
1.955,610063200,23673600,274,0
1.953,610149600,23760000,275,0
1.952,610236000,23846400,276,0
1.951,610322400,23932800,277,0
1.951,610581600,24192000,280,0
1.9575,610668000,24278400,281,0
1.9545,610754400,24364800,282,0
1.958,610840800,24451200,283,0
1.953,610927200,24537600,284,0
1.962,611186400,24796800,287,0
1.964,611272800,24883200,288,0
1.97,611359200,24969600,289,0
1.965,611445600,25056000,290,0
1.964,611532000,25142400,291,0
1.968,611791200,25401600,294,0
1.9545,611877600,25488000,295,0
1.956,611964000,25574400,296,0
1.956,612050400,25660800,297,0
1.9535,612136800,25747200,298,0
1.9525,612396000,26006400,301,0
1.96,612482400,26092800,302,0
1.955,612568800,26179200,303,0
1.9535,612655200,26265600,304,0
1.9525,612741600,26352000,305,0
1.949,613000800,26611200,308,0
1.953,613087200,26697600,309,0
1.947,613173600,26784000,310,0
1.948,613260000,26870400,311,0
1.953,613346400,26956800,312,0
1.964,613605600,27216000,315,0
1.965,613692000,27302400,316,0
1.969,613778400,27388800,317,0
1.97,613864800,27475200,318,0
1.963,613951200,27561600,319,0
1.963,614210400,27820800,322,0
1.96,614296800,27907200,323,0
1.961,614383200,27993600,324,0
1.955,614469600,28080000,325,0
1.954,614556000,28166400,326,0
1.954,614815200,28425600,329,0
1.9555,614901600,28512000,330,0
1.959,614988000,28598400,331,0
1.9595,615074400,28684800,332,0
1.965,615160800,28771200,333,0
1.962,615420000,29030400,336,0
1.963,615592800,29203200,338,0
1.962,615679200,29289600,339,0
1.956,615765600,29376000,340,0
1.958,616024800,29635200,343,0
1.961,616111200,29721600,344,0
1.957,616197600,29808000,345,0
1.9545,616284000,29894400,346,0
1.9575,616370400,29980800,347,0
1.963,616629600,30240000,350,0
1.959,616716000,30326400,351,0
1.961,616802400,30412800,352,0
1.96,616888800,30499200,353,0
1.9575,616975200,30585600,354,0
1.963,617234400,30844800,357,0
1.959,617320800,30931200,358,0
1.959,617407200,31017600,359,0
1.9565,617493600,31104000,360,0
1.9575,617580000,31190400,361,0
1.951,617839200,31449600,364,0
1.951,617925600,31536000,365,0
1.9465,618012000,31622400,366,0
1.947,618098400,31708800,367,0
1.954,618184800,31795200,368,0
1.9545,618444000,32054400,371,0
1.952,618530400,32140800,372,0
1.951,618616800,32227200,373,0
1.9505,618703200,32313600,374,0
1.9545,618789600,32400000,375,0
1.9585,619048800,32659200,378,0
1.958,619135200,32745600,379,0
1.957,619221600,32832000,380,0
1.961,619308000,32918400,381,0
1.964,619394400,33004800,382,0
1.9645,619653600,33264000,385,0
